cell_id,cell_auc,groups
CELL44.tif,91684,1
CELL12.tif,91943,1
CELL6.tif,302106,2
CELL38.tif,344014,2
CELL25.tif,359903,2
CELL37.tif,381037,2
CELL16.tif,395617,2
CELL43.tif,404762,2
CELL19.tif,413903,2
CELL24.tif,430659,2
CELL35.tif,439281,2
CELL30.tif,449029,2
CELL17.tif,455786,2
CELL29.tif,482161,2
CELL4.tif,506439,2
CELL42.tif,513538,2
CELL20.tif,539442,2
CELL15.tif,548509,2
CELL33.tif,575469,2
CELL40.tif,580980,2
CELL14.tif,588910,2
CELL13.tif,604856,2
CELL1.tif,621970,2
CELL5.tif,632509,2
CELL27.tif,642490,2
CELL34.tif,647748,2
CELL8.tif,669821,2
CELL23.tif,679880,2
CELL9.tif,695291,2
CELL11.tif,727138,2
CELL22.tif,946156,3
CELL31.tif,1033360,3
CELL3.tif,1097650,3
CELL36.tif,1107596,3
CELL18.tif,1262089,3
CELL7.tif,1287378,3
CELL32.tif,1368481,3
CELL2.tif,1436208,3
CELL21.tif,1479603,3
CELL39.tif,1720418,3
CELL10.tif,1736034,3
CELL26.tif,1825236,4
CELL28.tif,2132095,5
CELL41.tif,2708424,6
